development_constraint_id,plan_type_id,generic_land_use_type_id,"constraint_type",minimum,maximum,lc,maxht
1,1,1,"units_per_acre",0,4.08,0.55,30
2,2,1,"units_per_acre",0,2.61,0.55,25
3,3,1,"units_per_acre",0,7.26,0.55,30
4,4,1,"units_per_acre",0,6.22,0.55,30
5,5,1,"units_per_acre",0,5.44,0.55,30
6,6,1,"units_per_acre",0,6.05,0.55,45
7,7,1,"units_per_acre",4,15.6,0.55,45
8,8,1,"units_per_acre",4,31.2,0.55,45
9,9,1,"units_per_acre",0,1.2,0.55,35
10,10,1,"units_per_acre",0,6.05,0.2,40
11,11,1,"units_per_acre",0,8.7,0.7,40
12,13,1,"units_per_acre",0,5.8,0.4,35
13,14,1,"units_per_acre",0,12,1,36
14,18,1,"units_per_acre",0,5.44,0.45,25
15,19,1,"units_per_acre",0,12,1,36
16,31,1,"units_per_acre",0,10.13,0.35,35
17,33,1,"units_per_acre",0,10.13,0.75,45
18,34,1,"units_per_acre",0,6.05,0.35,35
19,35,1,"units_per_acre",0,4.53,0.35,35
20,39,1,"units_per_acre",0,20,1,57.8484
21,46,1,"units_per_acre",0,9.66145,1,35
22,48,1,"units_per_acre",0,12,1,30
23,49,1,"units_per_acre",1,1,0.35,35
24,50,1,"units_per_acre",8,10,0.6,45
25,51,1,"units_per_acre",4,5,0.4,35
26,52,1,"units_per_acre",5,7,0.5,35
27,53,1,"units_per_acre",0.25,0.25,0.25,35
28,54,1,"units_per_acre",8,10,1,30
29,55,1,"units_per_acre",0,9.98,1,35
30,58,1,"units_per_acre",1,1,0.35,35
31,59,1,"units_per_acre",15,20,0.7,50
32,61,1,"units_per_acre",0,24,1,35
33,62,1,"units_per_acre",0,17,0.35,25
34,63,1,"units_per_acre",0,24,0.75,35
35,64,1,"units_per_acre",0,17,0.35,35
36,65,1,"units_per_acre",0,26.136,0.5,35
37,66,1,"units_per_acre",0,26.136,0.5,35
38,67,1,"units_per_acre",0,17,0.35,25
39,68,1,"units_per_acre",0,2,0.35,35
40,69,1,"units_per_acre",0,0.4,0.1,30
41,70,1,"units_per_acre",0,1,0.15,30
42,71,1,"units_per_acre",0,21,0.5,35
43,72,1,"units_per_acre",0,2,0.2,30
44,73,1,"units_per_acre",0,2.9,0.25,25
45,74,1,"units_per_acre",0,3.5,0.25,25
46,75,1,"units_per_acre",0,4.3,0.25,25
47,76,1,"units_per_acre",0,5,0.25,25
48,77,1,"units_per_acre",0,6,1,30
49,78,1,"units_per_acre",0,12,0.4,35
50,80,1,"units_per_acre",0,4.35,0.5,30
51,83,1,"units_per_acre",0,1,0.75,70
52,84,1,"units_per_acre",0,4.4,0.75,45
53,85,1,"units_per_acre",0,8.7,0.75,70
54,86,1,"units_per_acre",0,35,0.75,45
55,87,1,"units_per_acre",0,35,0.75,45
56,88,1,"units_per_acre",0,1,0.75,45
57,93,1,"units_per_acre",0,30,1,45
58,104,1,"units_per_acre",0,21.78,0.35,160
59,107,1,"units_per_acre",0,30,1,76.5423
60,108,1,"units_per_acre",0,30,1,76.5423
61,111,1,"units_per_acre",0,15,1,20
62,112,1,"units_per_acre",0,29.1287,1,75
63,113,1,"units_per_acre",0,20,1,30
64,114,1,"units_per_acre",0,30,1,45
65,115,1,"units_per_acre",0,29.1287,1,75
66,117,1,"units_per_acre",0,10,1,20
67,118,1,"units_per_acre",0,1,0.35,30
68,119,1,"units_per_acre",0,1.8,0.35,30
69,120,1,"units_per_acre",0,10,0.35,30
70,121,1,"units_per_acre",0,15,0.35,30
71,122,1,"units_per_acre",0,2.5,0.35,30
72,123,1,"units_per_acre",0,20,0.35,30
73,124,1,"units_per_acre",0,3.5,0.35,30
74,125,1,"units_per_acre",0,30,0.35,40
75,126,1,"units_per_acre",0,4,0.35,30
76,127,1,"units_per_acre",0,5,0.4,30
77,128,1,"units_per_acre",0,7.5,0.4,30
78,133,1,"units_per_acre",0,12,0.5,49.5138
79,134,1,"units_per_acre",0,12,1,45
80,135,1,"units_per_acre",0,12,0.8,50
81,137,1,"units_per_acre",0,4,0.3,48.3799
82,138,1,"units_per_acre",0,6,0.3,89.9326
83,140,1,"units_per_acre",0,9,0.75,35
84,141,1,"units_per_acre",0,20,0.9,50
85,144,1,"units_per_acre",0,20,0.9,50
86,145,1,"units_per_acre",0,20,0.9,50
87,147,1,"units_per_acre",4,5,0.6,35
88,148,1,"units_per_acre",5,9,0.6,35
89,149,1,"units_per_acre",10,20,0.8,35
90,150,1,"units_per_acre",0,0.2,1,35
91,151,1,"units_per_acre",0,35,0.67,45
92,152,1,"units_per_acre",0,18.4042,0.63,45
93,166,1,"units_per_acre",10,15,0.5,35
94,167,1,"units_per_acre",0,15.55,0.5,35
95,168,1,"units_per_acre",0,15.55,0.5,35
96,169,1,"units_per_acre",0,15.55,0.5,35
97,170,1,"units_per_acre",0,15.55,0.5,35
98,171,1,"units_per_acre",7,10,0.5,35
99,173,1,"units_per_acre",0,1.08,0.35,30
100,174,1,"units_per_acre",0,10.89,0.5,30
101,175,1,"units_per_acre",0,10.89,0.5,30
102,176,1,"units_per_acre",5,8,0.5,30
103,177,1,"units_per_acre",0,8.06,0.5,30
104,178,1,"units_per_acre",0,8.06,0.5,30
105,179,1,"units_per_acre",0,8.06,0.35,30
106,180,1,"units_per_acre",0,8.06,0.5,30
107,181,1,"units_per_acre",0,6.05,0.35,30
108,182,1,"units_per_acre",0,5.18,0.35,30
109,183,1,"units_per_acre",0,4.53,0.35,30
110,184,1,"units_per_acre",0,4.53,0.35,30
111,185,1,"units_per_acre",0,4.53,0.35,30
112,186,1,"units_per_acre",0,4.53,0.35,30
113,190,1,"units_per_acre",0,5,0.55,30
114,191,1,"units_per_acre",0,10,0.6,35
115,193,1,"units_per_acre",0,24.1766,0.6,80
116,196,1,"units_per_acre",0,30,0.5,45
117,198,1,"units_per_acre",0,34.8825,0.7,85
118,200,1,"units_per_acre",0,14.0797,0.6,35
119,201,1,"units_per_acre",5,10,0.6,35
120,202,1,"units_per_acre",5,18,0.6,35
121,203,1,"units_per_acre",5,20,0.6,45
122,208,1,"units_per_acre",5,33.5266,0.7,80
123,209,1,"units_per_acre",5,27.7766,0.7,60
124,212,1,"units_per_acre",0,3.48,0.45,30
125,216,1,"units_per_acre",0,14.52,1,35
126,217,1,"units_per_acre",0,20.26,0.55,30
127,219,1,"units_per_acre",0,14.52,0.3,35
128,221,1,"units_per_acre",0,2.17,0.25,30
129,222,1,"units_per_acre",0,9.68,0.35,30
130,223,1,"units_per_acre",0,7.26,0.3,30
131,227,1,"units_per_acre",0,24,0.8,35
132,228,1,"units_per_acre",0,24,0.8,35
133,229,1,"units_per_acre",0,23.0128,0.7,45
134,230,1,"units_per_acre",0,12,0.7,35
135,231,1,"units_per_acre",0,24,0.85,35
